# Constructed from biom file
#OTU ID	16S-Amostra1	16S-Amostra2	taxonomy
ac1d4e46240660a75dd561498d1c50df	8.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UBA1774; s__UBA1774 sp016286665
353c02dc65e6d1c2d10cb8149867d78e	8.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__UMGS1810; f__UMGS1810; g__NSJ-50; s__NSJ-50 sp014385105
bc9350a59b80d8d6ba12aa3b47ef571d	8.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A; s__Coprococcus_A catus
ed810fa2a4b15138c10f12979662e017	8.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides salyersiae
f1681bcc5274382eaf70ad85491c837e	8.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides stercoris
4a5d2a184f229de74e17565e4c13a7d9	7.0	0.0	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Dialisteraceae; g__Dialister; s__Dialister hominis
30c7948955583981adb5609afca6c40c	0.0	7.0	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__RSA9; g__JADGQX01; s__JADGQX01 sp017881445
0eebf22536faa70d10968eb4972b2736	6.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Parasutterella; s__Parasutterella excrementihominis
26639d9f66c6c2106996b1c162605ff8	6.0	0.0	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A
37453085adfe208e105f0236b407f59a	6.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides caccae
160fe1c30fce2666a569aa3cbc49bc43	6.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides johnsonii
675d47d0e00ce464efcc06550c8d986f	6.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__CAG-239; g__Scatocola; s__Scatocola faecipullorum
43932a975277eedd5d0fcb4cbaf3d2b8	0.0	6.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__Alicyclobacillus hesperidum
bcd6f4e08e370357b0a70b7833dbb4b7	5.0	0.0	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__UBA1829; g__UBA11452; s__UBA11452 sp002069785
3aef8bb7f47464bd8c11e5692ab3975f	5.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__UBA1417; s__UBA1417 sp003531055
8ca6b78b226fb18a090b1df68fb9edd9	5.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__CAG-382
82e5115a8f1ead595da52c79fe587645	5.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__Bulleidia sp900539965
b8349e5459469537ac814c90cb3b99fa	5.0	0.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia muciniphila
f68ccdf8873c88412746c0e8eb8e7670	0.0	5.0	d__Bacteria; p__Eremiobacterota; c__Eremiobacteria; o__Baltobacterales; f__Baltobacteraceae
b892a7246f26b08a100739f4d1080a07	0.0	5.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae
9337d5571c3f1350debea510d6bdd099	4.0	0.0	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera; s__Methanosphaera stadtmanae
7762559411c3c2c9636f3cd2f97448a4	4.0	0.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Parolsenella; s__Parolsenella massiliensis
e18378b0ab57ba50d98bf43c61bd3779	4.0	0.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Ellagibacter; s__Ellagibacter isourolithinifaciens
a3b2f9569c4101cd3847b375de33999c	4.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__UBA1394; s__UBA1394 sp900066845
290a82808c55ce785ed9b24b1607ba10	3.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__CAG-272; g__CAG-841; s__CAG-841 sp900544285
a43ac195ae760513c79622ac9ac6ff2d	3.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter; s__Odoribacter splanchnicus
020880955dbd04950bc0b49978299bd0	3.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter
929589e2226f0dd50cc17b20c6e0eb42	0.0	3.0	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__RSA9; g__JADGQX01; s__JADGQX01 sp017881445
f8b778cd6f75bf7ee554e9a144a92d1f	0.0	2.0	d__Bacteria; p__Firmicutes_E; c__Sulfobacillia; o__Sulfobacillales; f__Sulfobacillaceae; g__Sulfobacillus_A; s__Sulfobacillus_A acidophilus
